LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default payment next month
a1,a1,1,a,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,a1
a1,a1,2,a1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,a
a,a1,1,a,2,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,a
a,a,3,a1,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,a
a1,a,1,a,3,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,a1
a1,a1,1,a1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,a
a,a1,1,a1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,a
a1,a1,2,a,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,a
a,a1,2,a1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,a
a,a,2,a1,2,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,a
a1,a,1,a,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,a
a1,a,1,a1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,a
a,a1,3,a,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,a
a,a,2,a,2,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,a1
a,a,1,a1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,a
a1,a1,1,a1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,a
a1,a,1,a,3,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,a
a,a1,3,a1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,a1
a,a1,2,a1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,a
a,a1,2,a1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,a
a,a1,2,a,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,a
a1,a,1,a1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,a
a,a,2,a1,2,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,0,1,0,a
a1,a,2,a,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,a
a1,a1,1,a,1,0,0,1,0,0,0,1,1,1,1,1,1,0,0,0,0,1,0,a
a,a,3,a,3,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,a
a1,a,2,a,2,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,a
a,a1,1,a1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,a
a,a,2,a1,2,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,a
a,a,1,a1,0,0,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,a1
a1,a,1,a1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,a
a,a,2,a1,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,a1
a1,a,2,a,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,a
a1,a1,2,a1,2,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,a
a,a,3,a1,2,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,a1
a1,a,1,a,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,a1
a,a1,1,a,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,a
a1,a1,2,a,2,1,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,a1
a,a,1,a1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,a
a,a,2,a1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,a
a1,a,3,a1,3,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,a
a1,a,1,a,2,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,a1
a,a,2,a,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,a1
a,a,3,a,3,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,a
a,a1,1,a1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,a
a1,a,1,a1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,a
a1,a,2,a,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,a
a1,a,3,a,3,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,a
a,a1,2,a1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,a
a1,a,2,a,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,a
a1,a,1,a1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,a
a1,a1,2,a,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,a
a,a1,3,a,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,a1
a,a,1,a1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,a
a1,a,1,a1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,a1
a1,a,2,a1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,a
a,a,2,a1,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,a
a1,a,2,a1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,a
a,a,1,a1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,a
a,a,1,a1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,a
a1,a1,2,a1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,a1
a1,a,1,a1,1,1,1,0,0,0,0,1,1,1,1,1,1,0,0,1,0,0,0,a
a,a1,2,a,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,a
a1,a1,1,a,3,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,a
a,a,2,a,1,0,0,0,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,a
a,a,1,a1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,a
a1,a,1,a1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,a
a1,a1,2,a,3,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,0,0,a
a,a1,3,a1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,a
a,a,1,a,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,a
a1,a1,1,a1,2,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,a
a1,a1,3,a1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,a
a1,a,3,a,3,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,a1
a,a,3,a,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,a
a,a,1,a1,2,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,a
a,a,2,a1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,a
a1,a,3,a,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,a
a1,a1,1,a,1,0,0,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,a
a,a1,2,a,3,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,a
a,a1,1,a1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,a
a1,a,1,a1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,a
a,a,2,a,1,0,1,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,a
a,a1,2,a,2,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,a
a,a1,2,a1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,a
a1,a,2,a1,2,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,a
a1,a1,1,a1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,a
a,a1,2,a1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,a
a,a1,1,a1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,a1
a1,a,1,a1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,a
a,a,3,a,3,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,a1
a,a,1,a1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,a
a,a,2,a1,1,1,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,a
a,a1,2,a1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,a
a,a1,2,a,1,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,a
a1,a,1,a1,2,0,0,1,0,0,0,0,1,1,1,1,0,1,0,0,0,0,1,a
a,a1,3,a1,2,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,a
a1,a1,1,a,3,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,a
a,a1,2,a,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,a1
a,a,2,a1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,a
a,a1,2,a,2,1,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,a1
a1,a1,1,a1,1,1,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1,1,1,a
a1,a1,3,a1,3,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,a1
a,a1,2,a,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,a
a,a1,2,a1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,a
a1,a,1,a1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,a
a,a1,1,a1,1,1,0,0,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,a1
a1,a1,1,a1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,a
a1,a1,1,a1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,a
a,a,2,a,2,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,a
a,a1,1,a1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,a1
a1,a1,2,a,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,a
a,a1,1,a1,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,1,0,0,a
a1,a1,1,a,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,a
a,a1,3,a1,0,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,a1
a1,a1,1,a,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,a
a,a,1,a1,1,0,0,1,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,a
a,a1,1,a1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,a
a,a,2,a1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,a
a1,a1,2,a,3,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,a
a,a,3,a,2,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,a
a,a,1,a,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,a
a1,a1,2,a,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,a1
a,a1,2,a1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,a1
a1,a1,1,a,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,a
a1,a,1,a1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,a
a1,a1,1,a,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,a1
a,a1,3,a,2,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,a
a,a,2,a1,2,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,a
a1,a,2,a1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,a
a,a,3,a,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,a
a1,a1,2,a,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,a1
a,a,2,a1,2,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,a
a1,a1,1,a1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,a
a1,a1,1,a,2,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,a1
a1,a1,3,a1,3,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,a
a1,a1,2,a1,2,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,0,0,1,a
a1,a1,2,a1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,1,0,0,0,0,a
a,a1,3,a1,2,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,a1
a1,a1,1,a1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,0,0,0,a
a1,a,3,a,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,a
a,a,2,a,2,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,a
a,a,2,a1,0,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,a1
a,a1,3,a1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,a
a,a1,1,a1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,a
a,a,2,a1,0,1,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,a1
a,a,2,a,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,a
a1,a,2,a1,1,1,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,a1
a,a1,2,a,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,a
a,a,1,a1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,a
a1,a1,2,a1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,a
a1,a1,1,a1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,a
a1,a1,3,a,3,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,a1
a,a1,2,a2,2,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,a1
a,a1,1,a1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,a
a,a,1,a1,2,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,a
a,a1,2,a1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,a
a1,a1,1,a1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,a
a,a1,1,a1,2,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,a
a,a1,2,a1,2,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,a
a1,a1,2,a,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,a
a,a1,2,a1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,a
a1,a,1,a1,1,0,0,0,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,a
a,a,3,a,3,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,a
a,a1,2,a1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,a
a,a,2,a1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,a
a,a1,2,a1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,a1
a1,a1,1,a1,1,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,1,1,0,a
a1,a1,2,a1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,a
a,a,2,a,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,a
a,a1,2,a,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,a
a1,a1,2,a,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,a
a,a1,3,a,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,a
a1,a,1,a,3,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,a1
a1,a1,1,a1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,a
a,a,2,a1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,a
a1,a1,1,a,2,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,a
a1,a1,1,a1,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,a
a,a1,1,a1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,a
a1,a1,2,a,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,a
a,a,3,a1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,a
a,a1,3,a1,3,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,a1
a,a1,1,a1,3,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,a
a,a,2,a1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,a1
a,a,3,a1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,a
a,a,1,a,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,a
a1,a1,1,a1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,a1
a1,a1,2,a1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,a
